UserId,WorkerId,Age,Gender,Education,EducationOther,Item,EnglishProficiency,TaskOrder
16d91ac2571-4190-658c-f14-f5eb,13410,21,vrouw,universiteit,,english_ratings,,
16d7753703a-52a0-b681-ce72-36ad,10305,24,man,universiteit,,english_ratings,,
16d5e91c032-d68b-83d4-152f-2968,6787,26,vrouw,HBO,,dutch_ratings,,
16d5dd5d14c-79a6-d324-2657-3aa0,,,,,,,,
16d5d963654-6335-5cf-b700-fe7e,12960,19,vrouw,universiteit,,english_ratings,,
16d55a59e7b-47ec-e215-a2c5-f248,483,28,man,universiteit,,english_ratings,,
16d528031aa-9a4d-636-fe82-4190,12578,21,vrouw,universiteit,,english_ratings,,
16d4fbc82c2-c825-65f-bddb-eb16,10456,22,vrouw,HBO,,dutch_ratings,,
16d4f5b06d3-368e-7ae7-a59e-960,13563,22,vrouw,voortgezet onderwijs,,english_ratings,,
16d498285ca-6648-e6a4-d65-5242,8690,25,vrouw,universiteit,,english_ratings,,
16d4ea8d961-669b-a8ca-c21c-6e0d,13523,18,vrouw,universiteit,,dutch_ratings,,
16d4e9f28de-ae04-f40f-43e6-6840,13523,18,vrouw,universiteit,,dutch_ratings,,
16d4a5baa45-2015-ae2b-3851-c80,6347,24,vrouw,universiteit,,dutch_ratings,,
16d49c94b47-8fda-468e-5f30-aefd,13403,27,man,HBO,,english_ratings,,
16d49b9296b-9d87-c77c-ea5-19a4,13019,23,vrouw,HBO,,dutch_ratings,,
16d49511202-7853-c7e1-447a-2dbc,,,,,,,,
16d494f4cf3-d9d8-83bd-252f-9c8c,,,,,,,,
16d494e9c22-708d-e049-6fea-50a7,,,,,,,,
16d494d6dd0-274b-e03a-d15b-a7d2,,,,,,,,
16d494cb21a-525f-90ef-efff-dfe7,,,,,,,,
16d3fd467b5-e0e1-44be-3cfe-3034,12644,19,vrouw,universiteit,,english_ratings,,
16d44db6334-2af0-43b5-10be-59f7,13446,20,vrouw,universiteit,,dutch_ratings,,
16d44793a2e-f34a-9597-8dcd-e6af,13462,23,man,HBO,,dutch_ratings,,
16d43d259a9-21f7-329b-6e1b-bb1b,13595,22,vrouw,universiteit,,english_ratings,,
16d43aae40b-f48e-d19-25d-9e3,13565,19,vrouw,universiteit,,english_ratings,,
16d404b7e4c-9a0d-943c-d1af-1154,13455,22,vrouw,universiteit,,dutch_ratings,,
16d4037b9b0-8f5d-9c27-62e0-129a,13248,22,vrouw,universiteit,,dutch_ratings,,
16d3fd3def8-22ed-652a-4755-ec5d,12906,20,vrouw,universiteit,,english_ratings,,
16d3f7c49c1-bad3-bbdf-9aad-afe5,13683,22,vrouw,universiteit,,english_ratings,,
16d3f7a0573-d8d0-f0e9-538b-417a,10502,22,vrouw,universiteit,,dutch_ratings,,
16d3f6ee60b-217e-b8b2-d105-2e98,12986,20,vrouw,universiteit,,dutch_ratings,,
16d3f68f53c-e3ad-51ac-ef62-c574,13524,19,vrouw,universiteit,,english_ratings,,
16d3f213a71-8b94-2bab-66f4-2b16,13120,23,vrouw,universiteit,,dutch_ratings,,
16d3f2187a7-a242-be2a-74d2-e48d,,,,,,,,
16d3ef7ca06-6c4b-3b9e-c3cb-dd50,10351,23,vrouw,universiteit,,english_ratings,,
16d3ecafa5e-dc6f-45bf-bf77-482d,717,29,vrouw,universiteit,,dutch_ratings,,
16d3e492e4d-6027-f418-96c4-aa74,13337,22,vrouw,universiteit,,dutch_ratings,,
16d3e4a0441-48e-1d73-a56d-41bf,,,,,,,,
16d3e386b13-c9d0-85b2-b6e0-e642,13689,21,vrouw,universiteit,,dutch_ratings,,
16d3af0599c-f8f7-3466-fe61-7633,666666gmm,99,man,universiteit,,english_ratings,,
16d3af00dd8-deb3-4d06-c6b3-3c69,,,,,,,,
16d39f423d4-5bc8-e2c8-ca26-7b35,EDP,28,vrouw,universiteit,,english_ratings,,
16d39a37fdc-f944-cf22-eeda-3045,qwr,123,man,basisonderwijs,,dutch_ratings,,
